"Date(UTC)","UnixTimeStamp","Value"
"9/24/2020","1600905600","1"
"9/25/2020","1600992000","6"
"9/26/2020","1601078400","0"
"9/27/2020","1601164800","1"
"9/28/2020","1601251200","1"
"9/29/2020","1601337600","14"
"9/30/2020","1601424000","31"
"10/1/2020","1601510400","113"
"10/2/2020","1601596800","7"
"10/3/2020","1601683200","1"
"10/4/2020","1601769600","8"
"10/5/2020","1601856000","0"
"10/6/2020","1601942400","4"
"10/7/2020","1602028800","25"
"10/8/2020","1602115200","24"
"10/9/2020","1602201600","0"
"10/10/2020","1602288000","0"
"10/11/2020","1602374400","2"
"10/12/2020","1602460800","3"
"10/13/2020","1602547200","20"
"10/14/2020","1602633600","10"
"10/15/2020","1602720000","10"
"10/16/2020","1602806400","3"
"10/17/2020","1602892800","31"
"10/18/2020","1602979200","2"
"10/19/2020","1603065600","6"
"10/20/2020","1603152000","9"
"10/21/2020","1603238400","5"
"10/22/2020","1603324800","2"
"10/23/2020","1603411200","14"
"10/24/2020","1603497600","0"
"10/25/2020","1603584000","0"
"10/26/2020","1603670400","0"
"10/27/2020","1603756800","8"
"10/28/2020","1603843200","12"
"10/29/2020","1603929600","14"
"10/30/2020","1604016000","3"
"10/31/2020","1604102400","0"
"11/1/2020","1604188800","3"
"11/2/2020","1604275200","25"
"11/3/2020","1604361600","10"
"11/4/2020","1604448000","2"
"11/5/2020","1604534400","6"
"11/6/2020","1604620800","3"
"11/7/2020","1604707200","0"
"11/8/2020","1604793600","3"
"11/9/2020","1604880000","11"
"11/10/2020","1604966400","22"
"11/11/2020","1605052800","10"
"11/12/2020","1605139200","20"
"11/13/2020","1605225600","25"
"11/14/2020","1605312000","4"
"11/15/2020","1605398400","0"
"11/16/2020","1605484800","4"
"11/17/2020","1605571200","7"
"11/18/2020","1605657600","2"
"11/19/2020","1605744000","3"
"11/20/2020","1605830400","5"
"11/21/2020","1605916800","0"
"11/22/2020","1606003200","0"
"11/23/2020","1606089600","2"
"11/24/2020","1606176000","0"
"11/25/2020","1606262400","0"
"11/26/2020","1606348800","7"
"11/27/2020","1606435200","0"
